Timestamp: 1734171094.208, ID: 0x60b, Data: 074f4c1580200187
Timestamp: 1734171094.208, ID: 0x60b, Data: 08511c19801fe175
Timestamp: 1734171094.208, ID: 0x60b, Data: 0a4fec1e80200179
Timestamp: 1734171094.208, ID: 0x60b, Data: 0b50241b80200173
Timestamp: 1734171094.208, ID: 0x60c, Data: 008ca53a8220c8
Timestamp: 1734171094.209, ID: 0x60c, Data: 0184a33a8220e8
Timestamp: 1734171094.209, ID: 0x60c, Data: 028ce53a8220e8
Timestamp: 1734171094.209, ID: 0x60c, Data: 03a52d4d82204c
Timestamp: 1734171094.209, ID: 0x60c, Data: 049ce94c0220c8
Timestamp: 1734171094.209, ID: 0x60c, Data: 05a52f4d82204c
Timestamp: 1734171094.210, ID: 0x60c, Data: 068ca53a8220e8
Timestamp: 1734171094.210, ID: 0x60c, Data: 07a52b4d82204c
Timestamp: 1734171094.210, ID: 0x60c, Data: 088ce53a8220e8
Timestamp: 1734171094.210, ID: 0x60c, Data: 0a9ce94b8220cc
Timestamp: 1734171094.210, ID: 0x60c, Data: 0ba52b4d822068
Timestamp: 1734171094.211, ID: 0x60d, Data: 007d0fa170800a0c
Timestamp: 1734171094.211, ID: 0x60d, Data: 017befa170800c0c
Timestamp: 1734171094.212, ID: 0x60d, Data: 027cafa070800505
Timestamp: 1734171094.212, ID: 0x60d, Data: 037d2fa070800505
Timestamp: 1734171094.212, ID: 0x60d, Data: 04920fa070800505
Timestamp: 1734171094.212, ID: 0x60d, Data: 057d0fa070800505
Timestamp: 1734171094.213, ID: 0x60d, Data: 067d8fa070800505
Timestamp: 1734171094.213, ID: 0x60d, Data: 077d0fa070800505
Timestamp: 1734171094.213, ID: 0x60d, Data: 087ccfa070800505
Timestamp: 1734171094.213, ID: 0x60d, Data: 0a7e8fa070800505
Timestamp: 1734171094.213, ID: 0x60d, Data: 0b7d4fa070800505
Timestamp: 1734171094.260, ID: 0x60a, Data: 0a3f3110
